Bwd.IAT.Total,Avg.Fwd.Segment.Size,Fwd.Packet.Length.Mean,Init_Win_bytes_forward,Destination.Port,Fwd.Header.Length,Bwd.IAT.Max,Bwd.IAT.Std,Total.Length.of.Fwd.Packets,Subflow.Fwd.Bytes,Source.Port,Bwd.IAT.Mean,Fwd.Packet.Length.Max,Fwd.IAT.Total,Flow.Duration,Flow.Bytes.s,Flow.Packets.s,Down.Up.Ratio,ProtocolName,source_file
0.0,50.0,78.0,0,53,28,0.0,0.0,50,50,40638,0.0,78.0,0.0,8414.030075073242,20442.04720750333,237.69822334306198,1.0,INSTAGRAM,instagram3.pcap
6125688.076019287,169.4561403508772,197.4561403508772,0,443,1596,2084708.9290618896,131071.44674979281,9659,9659,58761,13287.826629109082,1280.0,6131325.006484985,6158730.983734131,82880.06106259816,84.27060726807757,8.105263157894736,INSTAGRAM,instagram3.pcap
50408345.93772888,244.23076923076923,285.7692307692308,65535,5222,540,49944850.92163086,13792537.559407366,3175,3175,39964,4200695.49481074,3050.0,50436194.896698,50436789.989471436,89.71625674323413,0.5154967238285275,1.0,INSTAGRAM,instagram3.pcap
0.0,49.0,77.0,0,53,28,0.0,0.0,49,49,24331,0.0,77.0,0.0,7054.09049987793,29202.91425288133,283.52343934836244,1.0,INSTAGRAM,instagram3.pcap
49340181.11228943,220.26666666666668,261.6,65535,443,620,48484555.00602722,15995644.57649497,3304,3304,60512,6167522.639036179,552.0,49369647.97973633,49369827.98576355,117.27810762617248,0.486126870989316,0.6,INSTAGRAM,instagram3.pcap
0.0,88.0,116.0,0,53,28,0.0,0.0,88,88,14786,0.0,116.0,0.0,122565.03105163574,2023.4156339055585,16.317868015367406,1.0,INSTAGRAM,instagram3.pcap
40117368.9365387,94.66666666666667,136.88888888888889,65535,443,380,39627861.02294922,13838589.225035494,852,852,56098,5731052.705219814,552.0,40343873.97766113,40344276.905059814,135.95484714988393,0.42137327284376064,0.8888888888888888,INSTAGRAM,instagram3.pcap
0.0,88.0,116.0,0,53,28,0.0,0.0,88,88,4335,0.0,116.0,0.0,121920.10879516602,2542.6486497056926,16.40418483681092,1.0,INSTAGRAM,instagram3.pcap
0.0,88.0,116.0,0,53,28,0.0,0.0,88,88,58467,0.0,116.0,0.0,103415.96603393555,2398.08232240097,19.33937356774976,1.0,INSTAGRAM,instagram3.pcap
27750323.057174683,94.66666666666667,136.88888888888889,65535,443,380,27410300.0164032,9572008.44670891,852,852,43610,3964331.865310669,552.0,27913040.87638855,27913429.975509644,196.46456937794773,0.6090258350519897,0.8888888888888888,INSTAGRAM,instagram3.pcap
0.0,88.0,116.0,0,53,28,0.0,0.0,88,88,12794,0.0,116.0,0.0,121361.01722717285,2554.362241540199,16.479756397033544,1.0,INSTAGRAM,instagram3.pcap
