Bwd.IAT.Total,Avg.Fwd.Segment.Size,Fwd.Packet.Length.Mean,Init_Win_bytes_forward,Destination.Port,Fwd.Header.Length,Bwd.IAT.Max,Bwd.IAT.Std,Total.Length.of.Fwd.Packets,Subflow.Fwd.Bytes,Source.Port,Bwd.IAT.Mean,Fwd.Packet.Length.Max,Fwd.IAT.Total,Flow.Duration,Flow.Bytes.s,Flow.Packets.s,Down.Up.Ratio,ProtocolName,source_file
0.0,31.0,59.0,0,53,28,0.0,0.0,31,31,39628,0.0,59.0,0.0,14946.222305297852,16459.008502289078,133.81307725438273,1.0,YOUTUBE,youtube.pcap
0.0,31.0,59.0,0,53,28,0.0,0.0,31,31,37742,0.0,59.0,0.0,25180.10139465332,8498.774355429729,79.42779771429653,1.0,YOUTUBE,youtube.pcap
143342242.00248718,687.9716981132076,715.9716981132076,0,443,2968,100671502.11334229,11077571.354111314,72925,72925,46410,1727014.9638853876,1278.0,143310257.91168213,143481948.85253906,591.4681301633173,1.3242083866261742,0.7924528301886793,YOUTUBE,youtube.pcap
0.0,33.0,61.0,0,53,28,0.0,0.0,33,33,16144,0.0,61.0,0.0,14034.032821655273,19096.43531590303,142.51071131270916,1.0,YOUTUBE,youtube.pcap
0.0,47.0,75.0,0,53,28,0.0,0.0,47,47,43027,0.0,75.0,0.0,10244.131088256836,16204.400214117812,195.2337375194917,1.0,YOUTUBE,youtube.pcap
112884918.92814636,475.9512195121951,503.9512195121951,0,443,1148,101231253.86238098,15443118.696833042,19514,19514,41738,2687736.1649558656,1278.0,112875256.06155396,112919952.86941528,254.7202621777798,0.7438897897623163,1.048780487804878,YOUTUBE,youtube.pcap
0.0,36.0,64.0,0,53,28,0.0,0.0,36,36,18881,0.0,64.0,0.0,5536.079406738281,26011.187596899224,361.2664944013781,1.0,YOUTUBE,youtube.pcap
0.0,43.0,71.0,0,53,28,0.0,0.0,43,43,10896,0.0,71.0,0.0,9365.081787109375,16871.182077393074,213.559266802444,1.0,YOUTUBE,youtube.pcap
63229993.82019043,261.64285714285717,303.07142857142856,65535,443,580,60760836.8396759,16144419.636414094,3663,3663,41768,4863845.6784761865,1064.0,2489494.0853118896,63250459.90943909,192.9314034628688,0.4426845281455647,1.0,YOUTUBE,youtube.pcap
73584743.0229187,208.3684210526316,249.42105263157896,65535,443,780,62144665.95649719,13620795.30344982,3959,3959,43442,3679237.151145935,1095.0,11476341.962814331,73621063.94767761,183.6566775183982,0.5433227646428466,1.105263157894737,YOUTUBE,youtube.pcap
68371051.07307434,260.3333333333333,301.6666666666667,65535,443,620,62816932.2013855,14745296.01057796,3905,3905,46550,4021826.5337102553,1064.0,5576582.908630371,68393639.087677,184.71015972413994,0.4825010109155876,1.2,YOUTUBE,youtube.pcap
228562.1166229248,88.94392523364486,116.94392523364486,0,443,2996,18877.029418945312,1269.6217050105797,9517,9517,46214,275.04466500953646,1278.0,244788.88511657715,244788.88511657715,4361215.173195392,3835.9584813371525,7.775700934579439,YOUTUBE,youtube.pcap
0.0,53.0,81.0,0,53,28,0.0,0.0,53,53,53706,0.0,81.0,0.0,13347.864151000977,16856.62945431812,149.83670626060552,1.0,YOUTUBE,youtube.pcap
